cohort,is_clinical,scheme,rule,rule_label,n_test,prevalence,n_levels_admitted,n_partitions_usable,observed_gap,null_mean,null_median,null_sd,null_skew,null_p95_mde,null_frac_below_own_mean,p_value,p_mc_se,p_report,p_is_floor,n_reps,exceeds_null_p95,exceeds_null_median,p_holm,p_bh,sig_raw,sig_holm,sig_bh
nhanes2123,True,independent,ev10,n_pos >= 10 and n_neg >= 10,820,0.13048780487804879,10,3,0.046497584541062786,0.05232744427959593,0.048624648726803055,0.019612237885343057,1.2803708275375956,0.09027051394791787,0.5878,0.5520447955204479,0.004972886485734416,0.5520,False,10000,False,False,1.0,0.621050394960504,False,False,False
nhanes2123,True,joint,m20,n >= 20,820,0.13048780487804879,13,4,0.07484407484407485,0.06803752801419656,0.062356874140863106,0.025297525890886567,1.5184829683740582,0.11739248068649667,0.594,0.3093690630936906,0.004622050518979644,0.3094,False,10000,False,True,1.0,0.4379990572371335,False,False,False
nhanes2123,True,joint,m30,n >= 30 (published default),820,0.13048780487804879,13,4,0.07484407484407485,0.06803752801419656,0.062356874140863106,0.025297525890886567,1.5184829683740582,0.11739248068649667,0.594,0.3093690630936906,0.004622050518979644,0.3094,False,10000,False,True,1.0,0.4379990572371335,False,False,False
nhanes2123,True,joint,m50,n >= 50,820,0.13048780487804879,13,4,0.07484407484407485,0.06803752801419656,0.062356874140863106,0.025297525890886567,1.5184829683740582,0.11739248068649667,0.594,0.3093690630936906,0.004622050518979644,0.3094,False,10000,False,True,0.9281071892810718,0.3832491750824918,False,False,False
nhanes2123,True,joint,m100,n >= 100,820,0.13048780487804879,8,2,0.07484407484407485,0.04691616785311598,0.04307977847410299,0.020136183341349555,1.3257450778844864,0.08739470556177768,0.5995,0.09549045095490451,0.002937666420817721,0.0955,False,10000,False,True,0.252974702529747,0.10913194394846229,False,False,False
nhanes2123,True,joint,ev10,n_pos >= 10 and n_neg >= 10,820,0.13048780487804879,10,3,0.046497584541062786,0.052098254353506686,0.048373471731135986,0.01971305393889476,1.2155894206780726,0.0898274195719451,0.5884,0.5480451954804519,0.004976906669810074,0.5480,False,10000,False,False,1.0,0.6165508449155084,False,False,False
brfss2024,True,independent,m20,n >= 20,8978,0.21073735798618845,24,5,0.22373194766285143,0.14670438930961988,0.1403122601228171,0.0467910388165168,0.753012934824905,0.23313897988866583,0.5568,0.06579342065793421,0.0024775695752087368,0.0658,False,10000,False,True,0.5263473652634737,0.254974502549745,False,False,False
brfss2024,True,independent,m30,n >= 30 (published default),8978,0.21073735798618845,24,5,0.22373194766285143,0.14670438930961988,0.1403122601228171,0.0467910388165168,0.753012934824905,0.23313897988866583,0.5568,0.06579342065793421,0.0024775695752087368,0.0658,False,10000,False,True,0.5263473652634737,0.254974502549745,False,False,False
brfss2024,True,independent,m50,n >= 50,8978,0.21073735798618845,24,5,0.22373194766285143,0.14670438930961988,0.1403122601228171,0.0467910388165168,0.753012934824905,0.23313897988866583,0.5568,0.06579342065793421,0.0024775695752087368,0.0658,False,10000,False,True,0.5263473652634737,0.254974502549745,False,False,False
brfss2024,True,independent,m100,n >= 100,8978,0.21073735798618845,22,5,0.11368021159369424,0.11785779786246318,0.11189061200665262,0.03996588091554225,0.9085127360299368,0.19253034998672408,0.5587,0.48485151484851513,0.004997689065958386,0.4849,False,10000,False,True,0.48485151484851513,0.48485151484851513,False,False,False
brfss2024,True,independent,ev10,n_pos >= 10 and n_neg >= 10,8978,0.21073735798618845,23,5,0.22373194766285143,0.13793757016000738,0.1307843137254902,0.047756243890651244,0.8283484319849672,0.2272592265988509,0.5641,0.0552944705529447,0.0022837022573006316,0.0553,False,10000,False,True,0.308969103089691,0.09953004699530046,False,False,False
brfss2024,True,joint,m20,n >= 20,8978,0.21073735798618845,24,5,0.22373194766285143,0.14632600295264603,0.13982900741956955,0.047207135102548994,0.8147488794631162,0.23345553056241047,0.5576,0.0685931406859314,0.002526019596123514,0.0686,False,10000,False,True,0.5487451254874512,0.26217378262173785,False,False,False
brfss2024,True,joint,m30,n >= 30 (published default),8978,0.21073735798618845,24,5,0.22373194766285143,0.14632600295264603,0.13982900741956955,0.047207135102548994,0.8147488794631162,0.23345553056241047,0.5576,0.0685931406859314,0.002526019596123514,0.0686,False,10000,False,True,0.5487451254874512,0.26217378262173785,False,False,False
brfss2024,True,joint,m50,n >= 50,8978,0.21073735798618845,24,5,0.22373194766285143,0.14632600295264603,0.13982900741956955,0.047207135102548994,0.8147488794631162,0.23345553056241047,0.5576,0.0685931406859314,0.002526019596123514,0.0686,False,10000,False,True,0.5487451254874512,0.26217378262173785,False,False,False
brfss2024,True,joint,m100,n >= 100,8978,0.21073735798618845,22,5,0.11368021159369424,0.11713237016582861,0.11025371901284514,0.0401519887315565,0.9986112741149736,0.19210926207294204,0.5676,0.46685331466853314,0.004988965423812837,0.4669,False,10000,False,True,0.46685331466853314,0.46685331466853314,False,False,False
brfss2024,True,joint,ev10,n_pos >= 10 and n_neg >= 10,8978,0.21073735798618845,23,5,0.22373194766285143,0.13747383689374307,0.12980306956465532,0.04811361479620587,0.877516045804984,0.22823781907129048,0.5626,0.05749425057494251,0.0023260533097932213,0.0575,False,10000,False,True,0.30356964303569645,0.10348965103489652,False,False,False
adult_income,False,independent,m20,n >= 20,9045,0.2478717523493643,9,3,0.08080979653560305,0.07187756571249011,0.06642340602756325,0.03473829761393549,1.0478348923528862,0.13803087293972113,0.5622,0.33586641335866413,0.00472269372286622,0.3359,False,10000,False,True,1.0,0.4318282457468539,False,False,False
adult_income,False,independent,m30,n >= 30 (published default),9045,0.2478717523493643,9,3,0.08080979653560305,0.07187756571249011,0.06642340602756325,0.03473829761393549,1.0478348923528862,0.13803087293972113,0.5622,0.33586641335866413,0.00472269372286622,0.3359,False,10000,False,True,1.0,0.4318282457468539,False,False,False
adult_income,False,independent,m50,n >= 50,9045,0.2478717523493643,9,3,0.08080979653560305,0.07187756571249011,0.06642340602756325,0.03473829761393549,1.0478348923528862,0.13803087293972113,0.5622,0.33586641335866413,0.00472269372286622,0.3359,False,10000,False,True,0.9293070692930707,0.3778497150284971,False,False,False
adult_income,False,independent,m100,n >= 100,9045,0.2478717523493643,7,3,0.06726777249691163,0.024638340596105666,0.021961031957058452,0.013262622822537784,1.111396781792573,0.050357471606140486,0.58,0.007999200079992,0.0008853016435091489,0.0080,False,10000,True,True,0.05599440055994401,0.031996800319968,True,False,True
adult_income,False,independent,ev10,n_pos >= 10 and n_neg >= 10,9045,0.2478717523493643,8,3,0.08080979653560305,0.048794991243158656,0.04418230843676357,0.026703657192244483,1.1922515431846286,0.09944223936159423,0.5693,0.11738826117388261,0.0032177742307377627,0.1174,False,10000,False,True,0.46955304469553044,0.1760823917608239,False,False,False
adult_income,False,joint,m20,n >= 20,9045,0.2478717523493643,9,3,0.08080979653560305,0.07220802870979043,0.06664227790988364,0.035117150189926866,1.0691780179601729,0.13941067547243804,0.5588,0.34066593340665935,0.004739110043035507,0.3407,False,10000,False,True,1.0,0.4379990572371335,False,False,False
adult_income,False,joint,m30,n >= 30 (published default),9045,0.2478717523493643,9,3,0.08080979653560305,0.07220802870979043,0.06664227790988364,0.035117150189926866,1.0691780179601729,0.13941067547243804,0.5588,0.34066593340665935,0.004739110043035507,0.3407,False,10000,False,True,1.0,0.4379990572371335,False,False,False
adult_income,False,joint,m50,n >= 50,9045,0.2478717523493643,9,3,0.08080979653560305,0.07220802870979043,0.06664227790988364,0.035117150189926866,1.0691780179601729,0.13941067547243804,0.5588,0.34066593340665935,0.004739110043035507,0.3407,False,10000,False,True,0.9281071892810718,0.3832491750824918,False,False,False
adult_income,False,joint,m100,n >= 100,9045,0.2478717523493643,7,3,0.06726777249691163,0.024804407369475142,0.022007538276618055,0.01322377932335505,1.0677487703712103,0.05037499228829044,0.5798,0.0082991700829917,0.0009018181634897359,0.0083,False,10000,True,True,0.0580941905809419,0.0331966803319668,True,False,True
adult_income,False,joint,ev10,n_pos >= 10 and n_neg >= 10,9045,0.2478717523493643,8,3,0.08080979653560305,0.048961641602501126,0.044399286858908815,0.026755746275294496,1.1258485946303494,0.09888148484692506,0.569,0.1207879212078792,0.00325778314195405,0.1208,False,10000,False,True,0.4831516848315168,0.18118188181181882,False,False,False
acs_income,False,independent,m20,n >= 20,4000,0.4105,6,3,0.052729798215596535,0.015753139740639823,0.01508056719809453,0.0069101255488890866,0.5930742218997563,0.028098232460475988,0.5395,9.999000099990002e-05,0.0,<= 1.00e-04,True,10000,True,True,0.0008999100089991002,0.0008999100089991002,True,True,True
