cohort,cohort_label,is_clinical,rule,partition,partition_key,model_class,is_published_class,seed,spec_id,n_test,n_levels_admissible,partition_sd_ratio,min_level_lp_sd,max_level_lp_sd,min_level_lp_mean,max_level_lp_mean,level_lp_mean_spread,implied_auroc_min_gaussian,implied_auroc_max_gaussian,implied_casemix_gap_gaussian,implied_auroc_min_empirical,implied_auroc_max_empirical,implied_casemix_gap_empirical,observed_auc_gap
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,xgb_published,True,45,xgb_published|s45,19604,2,1.0799261676671321,0.48537280433711344,0.5241667924776277,-2.196450163365637,-2.1525493098674264,0.0439008534982106,0.6327771816896253,0.6425921700229467,0.009814988333321395,0.6352669256490786,0.6453502337071715,0.010083308058092877,0.022194699103852966
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,xgb_published,True,45,xgb_published|s45,19604,10,3.006637629446794,0.36198271450638375,1.0883508506441892,-3.681541543051867,-1.9581089995621537,1.7234325434897135,0.6003298804441843,0.7620383752301576,0.16170849478597327,0.6015643607547237,0.7915926493849403,0.1900282886302166,0.26003466327108105
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,xgb_published,True,45,xgb_published|s45,19604,5,1.1072306636536153,0.496811107323181,0.5500844920719332,-2.2466262546670372,-2.167621359840798,0.07900489482623918,0.6356721610009658,0.6492198986134403,0.01354773761247452,0.6372913854467728,0.654834546150693,0.017543160703920258,0.20682818996544505
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,xgb_published,True,45,xgb_published|s45,19604,2,1.0799261676671321,0.48537280433711344,0.5241667924776277,-2.196450163365637,-2.1525493098674264,0.0439008534982106,0.6327771816896253,0.6425921700229467,0.009814988333321395,0.6352669256490786,0.6453502337071715,0.010083308058092877,0.022194699103852966
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,xgb_published,True,45,xgb_published|s45,19604,9,3.006637629446794,0.36198271450638375,1.0883508506441892,-2.9920356352931727,-1.9581089995621537,1.033926635731019,0.6003298804441843,0.7620383752301576,0.16170849478597327,0.6015643607547237,0.7915926493849403,0.1900282886302166,0.24843008646988052
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,xgb_published,True,46,xgb_published|s46,19729,5,1.3031582058895859,0.41470109981446074,0.5404211412146507,-2.3167427427190037,-2.1704779727396954,0.14626476997930826,0.6144779632277951,0.6468000930629387,0.0323221298351436,0.6154786534425839,0.6527518914298713,0.03727323798728743,0.2615971070573062
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,xgb_published,True,46,xgb_published|s46,19729,2,1.016480621572645,0.4873558582795823,0.49538778575109965,-2.1936683658127816,-2.158870523998327,0.03479784181445478,0.6332451905768317,0.6353382260848788,0.0020930355080470697,0.6350709498616285,0.6389545305981716,0.0038835807365431574,0.009530516689856161
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,xgb_published,True,46,xgb_published|s46,19729,9,2.9610754545111324,0.3211051913811761,0.9508167005149002,-2.8553579983409367,-2.051250351187819,0.8041076471531179,0.5893542691456322,0.737617904846292,0.1482636357006598,0.5898251543309874,0.7630374372906391,0.17321228295965174,0.24696670544173116
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,xgb_published,True,46,xgb_published|s46,19729,4,1.1461478084275063,0.4715108620729281,0.5404211412146507,-2.2636911010563736,-2.1704779727396954,0.09321312831667816,0.6292757402309358,0.6468000930629387,0.017524352832002932,0.6320827473964575,0.6527518914298713,0.0206691440334138,0.10610474176101936
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,xgb_published,True,46,xgb_published|s46,19729,2,1.016480621572645,0.4873558582795823,0.49538778575109965,-2.1936683658127816,-2.158870523998327,0.03479784181445478,0.6332451905768317,0.6353382260848788,0.0020930355080470697,0.6350709498616285,0.6389545305981716,0.0038835807365431574,0.009530516689856161
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,xgb_published,True,46,xgb_published|s46,19729,8,2.9610754545111324,0.3211051913811761,0.9508167005149002,-2.3337111466873584,-2.051250351187819,0.2824607954995395,0.5893542691456322,0.737617904846292,0.1482636357006598,0.5898251543309874,0.7630374372906391,0.17321228295965174,0.2308919087297746
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,xgb_published,True,47,xgb_published|s47,19920,5,1.2479493037736848,0.4359730571542906,0.5440722731397818,-2.331029840100216,-2.1579139197574744,0.1731159203427417,0.6200403942261926,0.6476295314196044,0.027589137193411828,0.6182801562456987,0.6516585770022147,0.03337842075651609,0.11092638882212502
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,xgb_published,True,47,xgb_published|s47,19920,2,1.0503862305447544,0.4978655980761374,0.5229511688811037,-2.1942474205730536,-2.1446892434923206,0.04955817708073296,0.635971614168184,0.6422752505912314,0.006303636423047321,0.6382606844749386,0.6436861201652381,0.005425435690299518,0.0007621862090781972
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,xgb_published,True,47,xgb_published|s47,19920,9,3.0730521350113347,0.37227856568620143,1.1440314411009387,-2.9758380071385164,-1.952071510534219,1.0237664966042974,0.6030674530423499,0.7713054928783996,0.16823803983604968,0.6045536411418481,0.802635900775752,0.1980822596339039,0.2300208578720062
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,xgb_published,True,47,xgb_published|s47,19920,4,1.1673401358045055,0.46607861449466825,0.5440722731397818,-2.331029840100216,-2.1579139197574744,0.1731159203427417,0.627931793657864,0.6476295314196044,0.01969773776174044,0.6289698076839678,0.6516585770022147,0.022688769318246926,0.11092638882212502
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,xgb_published,True,47,xgb_published|s47,19920,2,1.0503862305447544,0.4978655980761374,0.5229511688811037,-2.1942474205730536,-2.1446892434923206,0.04955817708073296,0.635971614168184,0.6422752505912314,0.006303636423047321,0.6382606844749386,0.6436861201652381,0.005425435690299518,0.0007621862090781972
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,xgb_published,True,47,xgb_published|s47,19920,8,3.0730521350113347,0.37227856568620143,1.1440314411009387,-2.342467141498875,-1.952071510534219,0.3903956309646559,0.6030674530423499,0.7713054928783996,0.16823803983604968,0.6045536411418481,0.802635900775752,0.1980822596339039,0.2048765764388243
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,logreg_l2,False,42,logreg_l2|s42,19890,5,1.4869567581563392,0.3079841419525764,0.4579591012813648,-2.323094923475192,-2.1372672092195435,0.1858277142556486,0.5858564610480693,0.625665645172074,0.03980918412400469,0.5861619185442846,0.6276149125956304,0.04145299405134584,0.10184961315280461
