row_type,family,geometry,sd_ratio,equalize_prevalence,lp_dist,n,prevalence,n_levels,scales,unfair_w,miscal_slope,miscal_intercept,true_auc_by_level,oracle_auc_by_level,prevalence_by_level,true_auc_gap,true_max_excess_auc,prevalence_ratio,rule,method,is_one_of_the_five,n_sims,n_perm,alpha,seed,geometry_seed_word,pythonhashseed,n_evaluable,n_flag,flag_rate,flag_rate_mc_se,mean_n_admissible_p0,frac_reps_with_level_dropped,description
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1600_pf,1.6,True,normal,2000,0.2,3,0.790569/1/1.26491,,,,0.703078/0.744643/0.78882,0.703078/0.744643/0.78882,0.2/0.2/0.2,0.08574224395709062,0.0,1.0000000000000049,m30,permutation_null,True,1000,999,0.05,42,1563347029,0,1000,654,0.654,0.015042739112276061,3.0,0.0,"SD-ratio sweep at 1.600, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1750_pf,1.75,True,normal,2000,0.2,3,0.755929/1/1.32288,,,,0.69562/0.744643/0.797322,0.69562/0.744643/0.797322,0.2/0.2/0.2,0.10170236616656814,0.0,1.0000000000000002,m30,calibration_cox,False,1000,999,0.05,42,1586664576,0,1000,49,0.049,0.006826346021115542,3.0,0.0,"SD-ratio sweep at 1.750, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1750_pf,1.75,True,normal,2000,0.2,3,0.755929/1/1.32288,,,,0.69562/0.744643/0.797322,0.69562/0.744643/0.797322,0.2/0.2/0.2,0.10170236616656814,0.0,1.0000000000000002,m30,diciccio2020,True,1000,999,0.05,42,1586664576,0,1000,804,0.804,0.01255324659201754,3.0,0.0,"SD-ratio sweep at 1.750, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1750_pf,1.75,True,normal,2000,0.2,3,0.755929/1/1.32288,,,,0.69562/0.744643/0.797322,0.69562/0.744643/0.797322,0.2/0.2/0.2,0.10170236616656814,0.0,1.0000000000000002,m30,fixed_threshold_005,True,1000,999,0.05,42,1586664576,0,1000,959,0.959,0.006270486424512857,3.0,0.0,"SD-ratio sweep at 1.750, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1750_pf,1.75,True,normal,2000,0.2,3,0.755929/1/1.32288,,,,0.69562/0.744643/0.797322,0.69562/0.744643/0.797322,0.2/0.2/0.2,0.10170236616656814,0.0,1.0000000000000002,m30,four_fifths,True,1000,999,0.05,42,1586664576,0,1000,26,0.026,0.0050322956987840055,3.0,0.0,"SD-ratio sweep at 1.750, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1750_pf,1.75,True,normal,2000,0.2,3,0.755929/1/1.32288,,,,0.69562/0.744643/0.797322,0.69562/0.744643/0.797322,0.2/0.2/0.2,0.10170236616656814,0.0,1.0000000000000002,m30,lum2022,True,1000,999,0.05,42,1586664576,0,1000,843,0.843,0.01150439046625244,3.0,0.0,"SD-ratio sweep at 1.750, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1750_pf,1.75,True,normal,2000,0.2,3,0.755929/1/1.32288,,,,0.69562/0.744643/0.797322,0.69562/0.744643/0.797322,0.2/0.2/0.2,0.10170236616656814,0.0,1.0000000000000002,m30,lum2022_bootstrapCI,True,1000,999,0.05,42,1586664576,0,0,0,,,3.0,0.0,"SD-ratio sweep at 1.750, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1750_pf,1.75,True,normal,2000,0.2,3,0.755929/1/1.32288,,,,0.69562/0.744643/0.797322,0.69562/0.744643/0.797322,0.2/0.2/0.2,0.10170236616656814,0.0,1.0000000000000002,m30,lum2022_cochranQ,True,1000,999,0.05,42,1586664576,0,0,0,,,3.0,0.0,"SD-ratio sweep at 1.750, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1750_pf,1.75,True,normal,2000,0.2,3,0.755929/1/1.32288,,,,0.69562/0.744643/0.797322,0.69562/0.744643/0.797322,0.2/0.2/0.2,0.10170236616656814,0.0,1.0000000000000002,m30,mbc_excess,False,1000,999,0.05,42,1586664576,0,1000,19,0.019791165913982476,0.0044044835867270175,3.0,0.0,"SD-ratio sweep at 1.750, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1750_pf,1.75,True,normal,2000,0.2,3,0.755929/1/1.32288,,,,0.69562/0.744643/0.797322,0.69562/0.744643/0.797322,0.2/0.2/0.2,0.10170236616656814,0.0,1.0000000000000002,m30,permutation_null,True,1000,999,0.05,42,1586664576,0,1000,802,0.802,0.012601428490452976,3.0,0.0,"SD-ratio sweep at 1.750, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
