cohort,cohort_label,is_clinical,rule,partition,partition_key,model_class,is_published_class,seed,spec_id,n_train,n_test,train_prevalence,test_prevalence,n_levels_admissible,partition_sd_ratio,partition_iqr_ratio,partition_min_lp_sd,partition_max_lp_sd,partition_observed_auc_gap,partition_level_prevalence_ratio,overall_auc,frac_lp_clipped,fit_runtime_s
nhis2023,NHIS 2023,True,ev10,age_group,nhis2023|age_group,logreg_l2,False,46.0,logreg_l2|s46,21691,5423,0.1117975197086349,0.1117462659044809,4,1.2713488362247294,1.366841441394396,1.041053746048202,1.3235424684857768,0.1436555905194013,9.656841993861784,0.8352215852683463,0.0,0.0182349999668076
nhis2023,NHIS 2023,True,ev10,sex,nhis2023|sex,logreg_l2,False,46.0,logreg_l2|s46,21691,5423,0.1117975197086349,0.1117462659044809,2,1.0498119715993068,1.049805744937943,1.4838679214004122,1.5577823081583322,0.0202641601885983,1.040274861614812,0.8352215852683463,0.0,0.0182349999668076
nhis2023,NHIS 2023,True,ev10,race,nhis2023|race,logreg_l2,False,46.0,logreg_l2|s46,21691,5423,0.1117975197086349,0.1117462659044809,5,1.101422429971698,1.164080098362416,1.406867058115033,1.5495549337961942,0.1260774305987799,3.097435897435897,0.8352215852683463,0.0,0.0182349999668076
nhis2023,NHIS 2023,True,ev10,insured,nhis2023|insured,logreg_l2,False,46.0,logreg_l2|s46,21691,5423,0.1117975197086349,0.1117462659044809,2,1.085263988715199,1.149677186957433,1.3911215343737122,1.5097341051820226,0.007112042047913,1.5984942845880965,0.8352215852683463,0.0,0.0182349999668076
nhis2023,NHIS 2023,True,m30,age_group,nhis2023|age_group,logreg_l2,False,47.0,logreg_l2|s47,21691,5423,0.1117975197086349,0.1117462659044809,4,1.2704880285866054,1.381390715691717,1.0314545386142897,1.3104506433407752,0.1181299340067634,7.9764152922909055,0.8248863862927709,0.0,0.0190875999978743
nhis2023,NHIS 2023,True,m30,sex,nhis2023|sex,logreg_l2,False,47.0,logreg_l2|s47,21691,5423,0.1117975197086349,0.1117462659044809,2,1.0198871230716888,1.0093934745901612,1.5334876421540606,1.5639842996224924,0.0276485541472147,1.12030289801538,0.8248863862927709,0.0,0.0190875999978743
nhis2023,NHIS 2023,True,m30,race,nhis2023|race,logreg_l2,False,47.0,logreg_l2|s47,21691,5423,0.1117975197086349,0.1117462659044809,7,1.1144689254871951,1.704737798913334,1.3929790247559233,1.552431836945935,0.2279618689581094,1.6363636363636365,0.8248863862927709,0.0,0.0190875999978743
nhis2023,NHIS 2023,True,m30,insured,nhis2023|insured,logreg_l2,False,47.0,logreg_l2|s47,21691,5423,0.1117975197086349,0.1117462659044809,2,1.181903988290907,1.181819499066067,1.3016749725513712,1.5384548415169226,0.0535430570164408,1.576733237147847,0.8248863862927709,0.0,0.0190875999978743
nhis2023,NHIS 2023,True,ev10,age_group,nhis2023|age_group,logreg_l2,False,47.0,logreg_l2|s47,21691,5423,0.1117975197086349,0.1117462659044809,4,1.2704880285866054,1.381390715691717,1.0314545386142897,1.3104506433407752,0.1181299340067634,7.9764152922909055,0.8248863862927709,0.0,0.0190875999978743
nhis2023,NHIS 2023,True,ev10,sex,nhis2023|sex,logreg_l2,False,47.0,logreg_l2|s47,21691,5423,0.1117975197086349,0.1117462659044809,2,1.0198871230716888,1.0093934745901612,1.5334876421540606,1.5639842996224924,0.0276485541472147,1.12030289801538,0.8248863862927709,0.0,0.0190875999978743
